ID,Title,Year,Rating,IMDb,Genre,Platform
19421,Past Life,2016,7+,6.4,Drama,Amazon Prime Video
19422,And Then Came Summer,2000,,4.7,Drama,Amazon Prime Video
19423,Spirit Lost,1997,18+,5.0,Drama,Amazon Prime Video
19424,Hey Jude,2018,,6.9,Drama,Amazon Prime Video
19425,"Swing High, Swing Low",1937,,6.3,Drama,Amazon Prime Video
19426,Mulberry Stains,2012,,5.3,Drama,Amazon Prime Video
19427,The Prophet's Game,2000,18+,5.0,Drama,Amazon Prime Video
19428,Runnin' from my Roots,2018,,4.8,Drama,Amazon Prime Video
19429,Frozen Alive,1964,,3.7,Drama,Amazon Prime Video
19430,Time Regained,1999,,6.7,Drama,Amazon Prime Video
19431,Mandie and the Secret Tunnel,2009,all,5.4,Drama,Amazon Prime Video
19432,Immortality Corridor,2019,,5.5,Drama,Amazon Prime Video
19433,Masoom,1983,,8.4,Drama,Amazon Prime Video
19434,Wren Boys,2017,,7.0,Drama,Amazon Prime Video
19435,Lost Child,2018,,5.9,Drama,Amazon Prime Video
19436,Friends Forever,1987,,6.4,Drama,Amazon Prime Video
19437,The Forest,2016,13+,6.4,Drama,Amazon Prime Video
19438,Toll Booth,2011,,6.4,Drama,Amazon Prime Video
19439,Winter Brothers,2017,16+,6.4,Drama,Amazon Prime Video
19440,100 Days Before the Command,1991,,5.3,Drama,Amazon Prime Video
19441,The Assailant,2009,18+,5.8,Drama,Amazon Prime Video
19442,White Ant,2017,,6.4,Drama,Amazon Prime Video
19443,Laaga Chunari Mein Daag - Journey of A Woman,2007,13+,5.3,Drama,Amazon Prime Video
19444,Little England,2013,,7.8,Drama,Amazon Prime Video
19445,The Emperor Jones,1933,,6.4,Drama,Amazon Prime Video
19446,The North Star,1943,,5.9,Drama,Amazon Prime Video
19447,Swarg,1990,,6.7,Drama,Amazon Prime Video
19448,Loving You,1995,16+,6.4,Drama,Amazon Prime Video
19449,Wedding Dress,2010,,7.5,Drama,Amazon Prime Video
19450,In the Woods,2010,,4.2,Drama,Amazon Prime Video
19451,The Great Smokey Roadblock,1977,7+,5.1,Drama,Amazon Prime Video
19452,Savaari,2020,,5.7,Drama,Amazon Prime Video
19453,Hemel,2012,,5.7,Drama,Amazon Prime Video
19454,The Other Side of the Tracks,2008,13+,5.1,Drama,Amazon Prime Video
19455,The Neon Bible,1995,,6.2,Drama,Amazon Prime Video
19456,Amnesty,2012,,6.2,Drama,Amazon Prime Video
19457,Sweet Rush,2009,18+,6.5,Drama,Amazon Prime Video
19458,A Wind Named Amnesia,1990,,6.5,Drama,Amazon Prime Video
19459,Scaffolding,2017,,6.9,Drama,Amazon Prime Video
19460,Last Resort,1996,13+,4.8,Drama,Amazon Prime Video
19461,Who Am I This Time?,1982,7+,7.6,Drama,Amazon Prime Video
19462,Namak Haraam,1973,all,7.3,Drama,Amazon Prime Video
19463,You Disappear,2017,,5.9,Drama,Amazon Prime Video
19464,Player 5150,2008,18+,5.0,Drama,Amazon Prime Video
19465,Auschwitz,2011,,3.1,Drama,Amazon Prime Video
19466,Women's Prison,2002,,6.5,Drama,Amazon Prime Video
19467,The White Meadows,2009,,7.6,Drama,Amazon Prime Video
19468,Mr. Moto's Last Warning,1939,,6.5,Drama,Amazon Prime Video
19469,Cheers For Miss Bishop,1941,,6.5,Drama,Amazon Prime Video
19470,The Gun Runners,1958,,6.4,Drama,Amazon Prime Video
19471,Sye Raa Narasimha Reddy,2019,,7.4,Drama,Amazon Prime Video
19472,The Final Comedown,1972,18+,5.9,Drama,Amazon Prime Video
19473,The Chosen,1981,7+,7.1,Drama,Amazon Prime Video
19474,Downstream,1984,,5.8,Drama,Amazon Prime Video
19475,Trouble in Paradise,1989,,5.1,Drama,Amazon Prime Video
19476,Amar Akbar Anthony,1977,18+,7.5,Drama,Amazon Prime Video
19477,India vs England,2019,,5.8,Drama,Amazon Prime Video
19478,Bloody Marie,2019,,5.5,Drama,Amazon Prime Video
19479,Shoot to Kill,1947,,5.5,Drama,Amazon Prime Video
19480,The Pilot's Wife,2002,13+,5.7,Drama,Amazon Prime Video
19481,California Dreaming,1979,18+,6.0,Drama,Amazon Prime Video
19482,The Front Page,1931,7+,6.7,Drama,Amazon Prime Video
19483,The Next Day,2012,,4.6,Drama,Amazon Prime Video
19484,Promises! Promises!,1963,,5.1,Drama,Amazon Prime Video
19485,Jane and Emma,2018,7+,6.3,Drama,Amazon Prime Video
19486,Jack Reed: One of Our Own,1995,16+,6.3,Drama,Amazon Prime Video
19487,Cosh Boy,1953,,6.0,Drama,Amazon Prime Video
19488,Doomsdays,2013,,6.7,Drama,Amazon Prime Video
19489,Rajnigandha,1974,,7.3,Drama,Amazon Prime Video
19490,Prince,2015,,6.5,Drama,Amazon Prime Video
19491,Gangster Story,1959,,4.8,Drama,Amazon Prime Video
19492,Key of Brown,2013,,5.3,Drama,Amazon Prime Video
19493,The Turn of the Screw,1974,18+,6.1,Drama,Amazon Prime Video
19494,Narcotic,1933,,4.1,Drama,Amazon Prime Video
19495,Khubsoorat,1980,18+,7.6,Drama,Amazon Prime Video
19496,Hot Rod Girl,1956,,5.2,Drama,Amazon Prime Video
19497,Kaappaan,2019,,6.3,Drama,Amazon Prime Video
19498,The Trough,2018,,4.5,Drama,Amazon Prime Video
19499,Gross Misconduct,1993,,5.3,Drama,Amazon Prime Video
19500,Forgotten Evil,2017,16+,4.9,Drama,Amazon Prime Video
19501,Goran,2016,,6.5,Drama,Amazon Prime Video
19502,Razzia,2017,,6.2,Drama,Amazon Prime Video
19503,Dope Fiend,2017,,5.7,Drama,Amazon Prime Video
19504,Come Into Your Own,2019,,3.8,Drama,Amazon Prime Video
19505,Unfinished Sky,2007,,6.8,Drama,Amazon Prime Video
19506,Girl Lost,2018,13+,7.0,Drama,Amazon Prime Video
19507,TxT,2006,,4.8,Drama,Amazon Prime Video
19508,Come Simi,2015,,5.6,Drama,Amazon Prime Video
19509,The Bigamist,1953,,6.8,Drama,Amazon Prime Video
19510,Clara and Me,2004,,6.5,Drama,Amazon Prime Video
19511,Up Against Amanda,2000,18+,4.3,Drama,Amazon Prime Video
19512,In the Wake of the Bounty,1933,,4.9,Drama,Amazon Prime Video
19513,Miracle,2018,16+,7.1,Drama,Amazon Prime Video
19514,7 Assassins,2013,18+,5.1,Drama,Amazon Prime Video
19515,Flight to Hong Kong,1956,,5.5,Drama,Amazon Prime Video
19516,"Exit the Dragon, Enter the Tiger",1976,18+,5.0,Drama,Amazon Prime Video
19517,Between Us,2009,,7.3,Drama,Amazon Prime Video
19518,The Stand Up,2012,,7.0,Drama,Amazon Prime Video
19519,Coven of Evil,2018,,3.0,Drama,Amazon Prime Video
19520,Truck Stop Women,1974,18+,4.6,Drama,Amazon Prime Video
19521,La Cucaracha,1998,18+,5.9,Drama,Amazon Prime Video
19522,Sunday Too Far Away,1975,,7.0,Drama,Amazon Prime Video
19523,God's Outlaw,1986,,6.9,Drama,Amazon Prime Video
19524,What Ever Happened to Baby Jane?,1991,,6.1,Drama,Amazon Prime Video
19525,Helen,2019,,7.7,Drama,Amazon Prime Video
19526,Familyhood,2016,,6.4,Drama,Amazon Prime Video
19527,Joker,2016,,8.4,Drama,Amazon Prime Video
19528,Please Murder Me,1956,,6.5,Drama,Amazon Prime Video
19529,Down the River,2004,,5.3,Drama,Amazon Prime Video
19530,Haze,2017,18+,5.7,Drama,Amazon Prime Video
19531,A Christmas Without Snow,1980,13+,5.8,Drama,Amazon Prime Video
19532,Deniz Seviyesi,2014,18+,6.3,Drama,Amazon Prime Video
19533,Dark Mountain,1944,,5.4,Drama,Amazon Prime Video
19534,Vai,2019,,7.0,Drama,Amazon Prime Video
19535,Yolngu Boy,2001,,6.4,Drama,Amazon Prime Video
19536,Dil Dosti Etc,2007,,7.0,Drama,Amazon Prime Video
19537,The Medicine Seller,2013,,6.8,Drama,Amazon Prime Video
19538,Crazy Mama,1975,7+,5.5,Drama,Amazon Prime Video
19539,From the Manger to the Cross,1912,7+,5.7,Drama,Amazon Prime Video
19540,Half Moon,2010,,3.1,Drama,Amazon Prime Video
19541,Russian Roulette,1975,7+,5.7,Drama,Amazon Prime Video
19542,Song at Midnight,1937,,6.2,Drama,Amazon Prime Video
19543,Luv Ka The End,2011,7+,4.8,Drama,Amazon Prime Video
19544,Chitralahari,2019,,7.1,Drama,Amazon Prime Video
19545,Requiem for a Fighter,2018,,8.6,Drama,Amazon Prime Video
19546,Duckweed,2017,,6.4,Drama,Amazon Prime Video
19547,F�gi Is a Bastard,1998,,6.4,Drama,Amazon Prime Video
19548,Sparrows,1926,,7.3,Drama,Amazon Prime Video
19549,Lost in Beijing,2007,,6.7,Drama,Amazon Prime Video
19550,Judge Priest,1934,,6.3,Drama,Amazon Prime Video
19551,Lost for Words,2013,,3.3,Drama,Amazon Prime Video
19552,Showdown,1993,18+,5.3,Drama,Amazon Prime Video
19553,Vatos Locos 2,2016,,4.2,Drama,Amazon Prime Video
19554,Getting Home,2007,,7.4,Drama,Amazon Prime Video
19555,Minesweeper,1943,,5.2,Drama,Amazon Prime Video
19556,Happy Hour,2003,16+,6.3,Drama,Amazon Prime Video
19557,Darker Shades of Elise,2017,18+,3.8,Drama,Amazon Prime Video
19558,The Visitors,1972,18+,6.4,Drama,Amazon Prime Video
19559,Race You to the Bottom,2005,18+,5.0,Drama,Amazon Prime Video
19560,Billboard,2019,,5.4,Drama,Amazon Prime Video
19561,Love Flower,2019,,4.7,Drama,Amazon Prime Video
19562,Hollywood Cop,1987,18+,4.2,Drama,Amazon Prime Video
19563,Posesif,2017,,7.3,Drama,Amazon Prime Video
19564,Storming Attacks,1978,18+,4.9,Drama,Amazon Prime Video
19565,Heaven Sword and Dragon Sabre,1978,,6.1,Drama,Amazon Prime Video
19566,The Tribe,2016,,4.5,Drama,Amazon Prime Video
19567,My Hindu Friend,2015,,5.8,Drama,Amazon Prime Video
19568,The Four Year Plan,2011,,7.4,Drama,Amazon Prime Video
19569,Slingshot,2007,,6.6,Drama,Amazon Prime Video
19570,Shortkut - The Con Is On,2009,,3.4,Drama,Amazon Prime Video
19571,The Virgin of Juarez,2006,18+,4.8,Drama,Amazon Prime Video
19572,The Pee Wee 3D: The Winter That Changed My Life,2012,all,6.5,Drama,Amazon Prime Video
19573,Thank You for Playing,2015,,7.0,Drama,Amazon Prime Video
19574,Electra,1962,,7.6,Drama,Amazon Prime Video
19575,Lingaa,2014,all,5.6,Drama,Amazon Prime Video
19576,Quail Lake,2019,,5.2,Drama,Amazon Prime Video
19577,Hey Ram,2000,,7.9,Drama,Amazon Prime Video
19578,Tezz,2012,,3.9,Drama,Amazon Prime Video
19579,Thor and the Amazon Women,1963,,3.8,Drama,Amazon Prime Video
19580,N.T.R: Kathanayakudu,2019,,5.7,Drama,Amazon Prime Video
19581,Aetbaar,2004,,4.6,Drama,Amazon Prime Video
19582,Anjaneya,2003,,3.6,Drama,Amazon Prime Video
19583,Five Superfighters,1979,,6.5,Drama,Amazon Prime Video
19584,Ek Ajnabee,2005,,5.2,Drama,Amazon Prime Video
19585,Go Tell It On The Mountain,1984,,7.0,Drama,Amazon Prime Video
19586,Voyager,1991,13+,6.7,Drama,Amazon Prime Video
19587,The Jackie Robinson Story,1950,,6.4,Drama,Amazon Prime Video
19588,Chic!,2015,7+,5.5,Drama,Amazon Prime Video
19589,Shotgun Love,2011,,5.6,Drama,Amazon Prime Video
19590,The Boy Who Came Back,1958,,6.4,Drama,Amazon Prime Video
19591,The Pretend One,2018,,6.4,Drama,Amazon Prime Video
19592,Modris,2014,,6.8,Drama,Amazon Prime Video
19593,100 Yards,2019,,5.3,Drama,Amazon Prime Video
19594,The Missouri Traveler,1958,,6.3,Drama,Amazon Prime Video
19595,Test Tube Babies,1948,,3.0,Drama,Amazon Prime Video
19596,Mach 2,2001,18+,3.1,Drama,Amazon Prime Video
19597,God's Club,2016,,3.7,Drama,Amazon Prime Video
19598,Outlaws,2017,18+,5.4,Drama,Amazon Prime Video
19599,Casino Tycoon,1992,,6.0,Drama,Amazon Prime Video
19600,One Hour Outcall,2019,,4.4,Drama,Amazon Prime Video
19601,Maria's Paradise,2019,,5.8,Drama,Amazon Prime Video
19602,My Last Round,2011,,6.7,Drama,Amazon Prime Video
19603,Lukewarm,2012,,5.9,Drama,Amazon Prime Video
19604,Chopin: Desire for Love,2002,18+,5.0,Drama,Amazon Prime Video
19605,Girl Gang,1954,,5.2,Drama,Amazon Prime Video
19606,Sabel,2004,,6.0,Drama,Amazon Prime Video
19607,Love & Hostages,2016,18+,6.0,Drama,Amazon Prime Video
19608,Siege,2012,,6.4,Drama,Amazon Prime Video
19609,Socha Na Tha,2005,,7.4,Drama,Amazon Prime Video
19610,"Saving You, Saving Me",2019,,3.5,Drama,Amazon Prime Video
19611,Phantom Detective,2016,13+,6.3,Drama,Amazon Prime Video
19612,Rakhi,2006,,6.3,Drama,Amazon Prime Video
19613,Scraps,2019,,5.2,Drama,Amazon Prime Video
19614,Pataakha,2018,,7.2,Drama,Amazon Prime Video
19615,Marjaavaan,2019,,3.5,Drama,Amazon Prime Video
19616,Four of a Kind,2008,7+,6.9,Drama,Amazon Prime Video
19617,Allotment Wives,1945,,6.2,Drama,Amazon Prime Video
19618,Wives Under Suspicion,1938,,6.1,Drama,Amazon Prime Video
19619,Ice Mother,2017,,6.8,Drama,Amazon Prime Video
19620,The Third Day,1965,,5.7,Drama,Amazon Prime Video
19621,The Swimsuit Issue,2008,7+,5.8,Drama,Amazon Prime Video
19622,The Hairy Ape,1944,,6.1,Drama,Amazon Prime Video
19623,Deadline,2012,13+,4.8,Drama,Amazon Prime Video
19624,Our Love Story,2016,,6.7,Drama,Amazon Prime Video
19625,True North,2006,18+,6.9,Drama,Amazon Prime Video
19626,Maari,2015,,6.3,Drama,Amazon Prime Video
19627,Playing Away,1987,,6.3,Drama,Amazon Prime Video
19628,All These Sleepless Nights,2016,18+,6.6,Drama,Amazon Prime Video
19629,The Happy Poet,2010,,6.1,Drama,Amazon Prime Video
19630,Kaante,2002,18+,6.6,Drama,Amazon Prime Video
19631,Ankur Arora Murder Case,2013,13+,6.5,Drama,Amazon Prime Video
19632,Alex and Leo,2010,18+,5.2,Drama,Amazon Prime Video
19633,Cry of the Werewolf,1944,,5.4,Drama,Amazon Prime Video
19634,Torn from Innocence,2020,,3.5,Drama,Amazon Prime Video
19635,State Department: File 649,1949,,4.7,Drama,Amazon Prime Video
19636,Fist of Fury 3,1979,,5.6,Drama,Amazon Prime Video
19637,Marianne,2011,,4.6,Drama,Amazon Prime Video
19638,Dreaming of Space,2005,,6.7,Drama,Amazon Prime Video
19639,Touch,2005,,6.3,Drama,Amazon Prime Video
19640,The Flying Dagger,1969,,6.3,Drama,Amazon Prime Video
19641,Daytime Drinking,2008,,6.7,Drama,Amazon Prime Video
19642,Scrooge,1935,,6.6,Drama,Amazon Prime Video
19643,Oblivion Verses,2018,18+,6.5,Drama,Amazon Prime Video
19644,Lady in the Death House,1944,,5.3,Drama,Amazon Prime Video
19645,Aakrosh,2010,13+,7.0,Drama,Amazon Prime Video
